Cation,Anion,Meilleure Solubilite,Temp Opt,Temps Opt,Cellulose Opt
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,C[C@H]1Cc2ccccc2N1S(=O)(=O)c1ccc(Br)c(C(=O)[O-])c1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,C[C@@H]1CC[C@@H]([C@@H](CCCc2cc(Br)ccc2C(=O)[O-])c2ccccc2)c2ccccc21,4.1332,200,2.0,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCCSCCCCCCSCCC(C(=O)[O-])C(=O)Oc1c(C(C)c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)cc(C(C)(C)C)cc1C(C)(C)C,5124.8838,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1cc(C)c(-[b-]2ccc(C(C)C)cc2[Si](C)(C)C)c(C)c1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1cc(C)cc(Oc2ccc(NC(=O)[C@H]3CC=CC[C@H]3C(=O)[O-])cc2)c1,1.1196,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC12CO[B-](c3cccc(NC(=O)OC(C)(C)C)n3)(OC1)OC2,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1cc(C)nc([N-]S(=O)(=O)c2ccc(NC(=O)COc3ccccc3)cc2)n1,1.5234,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1c(C(=O)[O-])sc2nc(Cc3ccccc3)[nH]c(=O)c12,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC1C2OC2CCC1C1(C(=O)[O-])CCC2OC2C1C,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COCCCNc1ncc(-c2cnc3c(c2)C(=C([O-])c2c(F)ccc(N)c2F)C=N3)cn1,7.0201,200,5.0,MCC
